Ratio Data Name,Column,Column2,22rv1|nt|6h,Reference,22rv1|nt|6h vs. Reference,22rv2|olaparib|6h,Reference2,22rv2|olaparib|6h vs. Reference
Endogenous,ABL1,NM_005157.3,319.20,319.20,1.00,333.54,319.20,1.04
Endogenous,ACVR2A,NM_001616.3,107.00,107.00,1.00,95.61,107.00,-1.12
Endogenous,AKT1,NM_005163.2,2130.10,2130.10,1.00,1791.11,2130.10,-1.19
Endogenous,AKT3,NM_181690.1,8.16,8.16,1.00,4.45,8.16,-1.84
Endogenous,ALKBH2,NM_001001655.2,242.12,242.12,1.00,261.27,242.12,1.08
Endogenous,ALKBH3,NM_139178.3,321.92,321.92,1.00,364.67,321.92,1.13
Endogenous,AMER1,NM_152424.3,89.77,89.77,1.00,94.50,89.77,1.05
Endogenous,AMH,NM_000479.3,19.04,19.04,1.00,20.01,19.04,1.05
Endogenous,ANGPT1,NM_001146.3,1.00,1.00,1.00,4.45,1.00,4.45
Endogenous,APC,NM_000038.3,99.75,99.75,1.00,77.83,99.75,-1.28
Endogenous,APH1B,NM_001145646.1,9.07,9.07,1.00,11.12,9.07,1.23
Endogenous,AR,NM_001011645.1,1399.21,1399.21,1.00,1544.29,1399.21,1.10
Endogenous,ARID1A,NM_006015.4,534.11,534.11,1.00,494.75,534.11,-1.08
Endogenous,ARID1B,NM_020732.3,534.11,534.11,1.00,433.60,534.11,-1.23
Endogenous,ARID2,NM_152641.2,895.93,895.93,1.00,774.92,895.93,-1.16
Endogenous,ARNT2,NM_014862.3,87.05,87.05,1.00,68.93,87.05,-1.26
Endogenous,ASXL1,NM_001164603.1,214.01,214.01,1.00,207.91,214.01,-1.03
Endogenous,ATM,NM_138292.3,69.82,69.82,1.00,51.14,69.82,-1.37
Endogenous,ATR,NM_001184.2,286.55,286.55,1.00,260.16,286.55,-1.10
Endogenous,ATRX,NM_000489.3,409.88,409.88,1.00,403.58,409.88,-1.02
Endogenous,AXIN1,NM_181050.1,339.15,339.15,1.00,303.52,339.15,-1.12
Endogenous,AXIN2,NM_004655.3,39.90,39.90,1.00,42.25,39.90,1.06
Endogenous,B2M,NM_004048.2,5108.08,5108.08,1.00,5798.03,5108.08,1.14
Endogenous,BAD,NM_004322.3,479.70,479.70,1.00,452.50,479.70,-1.06
Endogenous,BAIAP3,NM_003933.4,76.17,76.17,1.00,105.62,76.17,1.39
Endogenous,BAMBI,NM_012342.2,84.33,84.33,1.00,75.60,84.33,-1.12
Endogenous,BAP1,NM_004656.2,629.33,629.33,1.00,528.10,629.33,-1.19
Endogenous,BAX,NM_138761.3,1605.06,1605.06,1.00,1742.19,1605.06,1.09
Endogenous,BCL2,NM_000657.2,114.26,114.26,1.00,111.18,114.26,-1.03
Endogenous,BCL2A1,NM_004049.2,4.53,4.53,1.00,3.34,4.53,-1.36
Endogenous,BCL2L1,NM_138578.1,270.23,270.23,1.00,260.16,270.23,-1.04
Endogenous,BCOR,NM_001123383.1,706.41,706.41,1.00,732.68,706.41,1.04
Endogenous,BDNF,NM_170732.4,16.32,16.32,1.00,21.12,16.32,1.29
Endogenous,BID,NM_197966.1,54.41,54.41,1.00,55.59,54.41,1.02
Endogenous,BIRC3,NM_182962.1,5.44,5.44,1.00,16.68,5.44,3.07
Endogenous,BIRC7,NM_022161.2,1.00,1.00,1.00,2.22,1.00,2.22
Endogenous,BMP2,NM_001200.2,827.92,827.92,1.00,1047.31,827.92,1.26
Endogenous,BMP4,NM_001202.2,6.35,6.35,1.00,1.11,6.35,-5.71
Endogenous,BMP5,NM_021073.2,12.70,12.70,1.00,13.34,12.70,1.05
Endogenous,BMP6,NM_001718.2,60.76,60.76,1.00,53.37,60.76,-1.14
Endogenous,BMP7,NM_001719.1,8.16,8.16,1.00,4.45,8.16,-1.84
Endogenous,BMP8A,NM_181809.3,28.11,28.11,1.00,13.34,28.11,-2.11
Endogenous,BMPR1B,NM_001203.1,119.70,119.70,1.00,131.19,119.70,1.10
Endogenous,BNIP3,NM_004052.2,591.24,591.24,1.00,590.37,591.24,-1.00
Endogenous,BRAF,NM_004333.3,629.33,629.33,1.00,682.64,629.33,1.08
Endogenous,BRCA1,NM_007305.2,840.62,840.62,1.00,786.04,840.62,-1.07
Endogenous,BRCA2,NM_000059.3,371.79,371.79,1.00,332.43,371.79,-1.12
Endogenous,BRIP1,NM_032043.1,453.41,453.41,1.00,410.25,453.41,-1.11
Endogenous,C19orf40,NM_152266.3,116.98,116.98,1.00,96.73,116.98,-1.21
Endogenous,CACNA1D,NM_000720.2,47.15,47.15,1.00,48.92,47.15,1.04
Endogenous,CACNA1E,NM_000721.2,5.44,5.44,1.00,3.34,5.44,-1.63
Endogenous,CACNA1G,NM_198397.1,11.79,11.79,1.00,13.34,11.79,1.13
Endogenous,CACNA1H,NM_021098.2,9.07,9.07,1.00,8.89,9.07,-1.02
Endogenous,CACNA2D2,NM_001005505.1,91.59,91.59,1.00,81.16,91.59,-1.13
Endogenous,CACNA2D3,NM_018398.2,17.23,17.23,1.00,10.01,17.23,-1.72
Endogenous,CACNA2D4,NM_001005737.1,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,CACNB2,NM_000724.3,107.00,107.00,1.00,84.50,107.00,-1.27
Endogenous,CACNB3,NM_000725.2,119.70,119.70,1.00,73.38,119.70,-1.63
Endogenous,CACNG4,NM_014405.2,15.42,15.42,1.00,14.45,15.42,-1.07
Endogenous,CACNG6,NM_145814.1,9.07,9.07,1.00,4.45,9.07,-2.04
Endogenous,CALML5,NM_017422.4,8.16,8.16,1.00,11.12,8.16,1.36
Endogenous,CALML6,NM_138705.2,2.72,2.72,1.00,1.11,2.72,-2.45
Endogenous,CAMK2B,NM_001220.3,54.41,54.41,1.00,51.14,54.41,-1.06
Endogenous,CAPN2,NM_001748.4,86.15,86.15,1.00,65.60,86.15,-1.31
Endogenous,CARD11,NM_032415.2,1.00,1.00,1.00,4.45,1.00,4.45
Endogenous,CASP10,NM_032977.3,3.63,3.63,1.00,3.34,3.63,-1.09
Endogenous,CASP12,NM_001191016.1,2.72,2.72,1.00,8.89,2.72,3.27
Endogenous,CASP3,NM_032991.2,540.46,540.46,1.00,539.22,540.46,-1.00
Endogenous,CASP7,NM_001227.3,204.94,204.94,1.00,197.90,204.94,-1.04
Endogenous,CASP8,NM_001228.4,78.89,78.89,1.00,70.04,78.89,-1.13
Endogenous,CASP9,NM_001229.2,116.07,116.07,1.00,105.62,116.07,-1.10
Endogenous,CBL,NM_005188.2,107.91,107.91,1.00,93.39,107.91,-1.16
Endogenous,CBLC,NM_012116.3,38.99,38.99,1.00,35.58,38.99,-1.10
Endogenous,CCNA2,NM_001237.2,2338.67,2338.67,1.00,2049.05,2338.67,-1.14
Endogenous,CCNB1,NM_031966.2,3139.39,3139.39,1.00,2527.12,3139.39,-1.24
Endogenous,CCNB3,NM_033671.1,20.86,20.86,1.00,7.78,20.86,-2.68
Endogenous,CCND1,NM_053056.2,10435.60,10435.60,1.00,9422.50,10435.60,-1.11
Endogenous,CCND2,NM_001759.2,3.63,3.63,1.00,2.22,3.63,-1.63
Endogenous,CCND3,NM_001760.2,167.76,167.76,1.00,146.76,167.76,-1.14
Endogenous,CCNE1,NM_001238.1,177.74,177.74,1.00,163.43,177.74,-1.09
Endogenous,CCNE2,NM_057735.1,698.25,698.25,1.00,743.79,698.25,1.07
Endogenous,CCNO,NM_021147.3,8.16,8.16,1.00,3.34,8.16,-2.45
Endogenous,CD14,NM_000591.2,10.88,10.88,1.00,5.56,10.88,-1.96
